"","ID","Status","PQ","TQ","TB","HH","medium"
"90","Monocorophium insidiosum","N",1,0,0,0,"Both"
"91","Musculista senhousia","N",0,1,0,0,"Sediment"
"92","Myrianida prolifera","N",0,0,1,0,"Water"
"93","Mytilicola intestinalis","N",0,1,0,0,"Sediment"
"94","Mytilus edulis","N",1,1,0,0,"Both"
"95","Mytilus galloprovincialis","N",1,1,0,0,"Both"
"96","Mytilus trossulus","N",1,0,0,0,"Water"
"97","Nais elinguis","N",0,1,0,0,"Water"
"98","Necora puber","N",0,1,0,1,"Both"
"99","Nephtys cirrosa","N",1,0,0,1,"Both"
"100","Nephtys hombergii","N",1,1,1,0,"Both"
"101","Nucula nitidosa","N",0,1,0,0,"Sediment"
"102","Obelia dichotoma","N",0,1,1,1,"Both"
"103","Obelia longissima","N",1,0,1,1,"Both"
"104","Oncorhynchus mykiss","N",0,1,0,0,"Water"
"105","Ostrea edulis","N",0,1,1,0,"Water"
"106","Paracalanus parvus","N",0,1,0,1,"Both"
"107","Paramecynostomum diversicolor","N",1,0,1,0,"Sediment"
"108","Paranais frici","N",0,1,0,0,"Water"
"109","Paranais litoralis","N",1,0,1,0,"Both"
"110","Patella vulgata","N",0,1,0,0,"Water"
"111","Pectinaria koreni","N",0,1,0,1,"Both"
"112","Peringia ulvae","N",1,1,1,1,"Both"
"113","Philactinoposthia saliens","N",1,0,0,0,"Sediment"
"114","Phorcus lineatus","N",0,0,0,1,"Water"
"115","Phyllodoce groenlandica","N",0,1,1,1,"Both"
"116","Platynereis dumerilii","N",0,1,0,0,"Water"
"117","Potamopyrgus antipodarum","N",0,1,0,0,"Water"
"118","Protosuberites denhartogi","N",0,1,1,0,"Both"
"119","Psamathe fusca","N",0,1,0,1,"Both"
"120","Pseudobradya attenuata","N",1,0,1,0,"Sediment"
"121","Pseudocalanus elongatus","N",0,0,0,1,"Water"
"122","Pseudocalanus moultoni","N",0,0,0,1,"Water"
"123","Pycnophyes kielensis","N",1,1,1,0,"Sediment"
"124","Pygospio elegans","N",1,0,1,0,"Sediment"
"125","Ruditapes philippinarum","N",0,1,0,0,"Both"
"126","Sabellaria alveolata","N",1,0,0,1,"Both"
"127","Sabellaria spinulosa","N",0,1,0,1,"Water"
"128","Sagartia ornata","N",0,1,1,0,"Both"
"129","Sarsia tubulosa","N",1,1,0,0,"Both"
"130","Scomber scombrus","N",0,0,0,1,"Water"
"131","Scrobicularia plana","N",0,0,1,0,"Both"
"132","Scrupocellaria scruposa","N",0,1,0,1,"Both"
"133","Semibalanus balanoides","N",0,1,0,1,"Both"
"134","Spiophanes bombyx","N",0,1,0,1,"Water"
"135","Sthenelais boa","N",0,1,0,0,"Both"
"136","Streblospio benedicti","N",1,1,1,0,"Both"
"137","Tachidius discipes","N",0,0,1,0,"Both"
"138","Temora longicornis","N",0,1,1,1,"Both"
"139","Terschellingia longicaudata","N",0,0,1,0,"Sediment"
"140","Trichobranchus glacialis","N",0,1,0,0,"Both"
"141","Tubificoides benedii","N",0,1,1,1,"Both"
"142","Tubificoides brownae","N",1,1,1,0,"Sediment"
"143","Watersipora subtorquata","N",0,1,0,0,"Water"
